dataset/word0.wav, Spell state.
dataset/word1.wav, Next up, Absorb.
dataset/word2.wav, spell soda.
dataset/word3.wav, your word is bingo.
dataset/word4.wav, spell gender.
dataset/word5.wav, Spell sigh.
dataset/word6.wav, spell noob.
dataset/word7.wav, Spell proof.
dataset/word8.wav, Spell Shake.
dataset/word9.wav, Alright, spell, pie.
dataset/word10.wav, The next word is convey.
dataset/word11.wav, The next word is gender.
dataset/word12.wav, The next word is cliff.
dataset/word13.wav, Next up, Iron.
dataset/word14.wav, The next word is, defy.
dataset/word15.wav, The next word is size.
dataset/word16.wav, Can you spell Oasis?
dataset/word17.wav, The next word is excellent.
dataset/word18.wav, Alright spell, debris.
dataset/word19.wav, word is random.
dataset/word20.wav, word is reply.
dataset/word21.wav, spell villain.
dataset/word22.wav, word is circle.
dataset/word23.wav, word is voluntary.
dataset/word24.wav, spell independence.
dataset/word25.wav, word is ricochet.
dataset/word26.wav, Next word is gibberish.
dataset/word27.wav, Do spell steadfast.
dataset/word28.wav, spell, human.
dataset/word29.wav, Cabin.
dataset/word30.wav, Alright spell, dairy.
dataset/word31.wav, The next word is house.
dataset/word32.wav, Alright spell proof.
dataset/word33.wav, Spell Update.
dataset/word34.wav, Next up, forbid
dataset/word35.wav, spell size.
dataset/word36.wav, Spell wrist.
dataset/word37.wav, Spell margin.
dataset/word38.wav, All right, spell thesis.
dataset/word39.wav, spell dolphin.
dataset/word40.wav, Next up, filter.
dataset/word41.wav, Can you spell Ricochet?
dataset/word42.wav, Can you spell refrain?
dataset/word43.wav, The next word is random.
dataset/word44.wav, Can you spell water?
dataset/word45.wav, Your word is alliance.
dataset/word46.wav, Your word is offender.
dataset/word47.wav, Spell circle.
dataset/word48.wav, Spell, await.
dataset/word49.wav, Next up, burial.
dataset/word50.wav, Your word is still.
dataset/word51.wav, Can you spell concentration?
dataset/word52.wav, alright spell, refrain.
dataset/word53.wav, Next up, burger.
dataset/word54.wav, The next word is excellent.
dataset/word55.wav, Spell Breakthrough.
dataset/word56.wav, Can you spell furious?
dataset/word57.wav, The next word is, await.
dataset/word58.wav, Spell word.
dataset/word59.wav, Can you spell human?
dataset/word60.wav, Spell size.
dataset/word61.wav, All right, spell scrutiny.
dataset/word62.wav, Spell curious.
dataset/word63.wav, Can you spell transaction?
dataset/word64.wav, Spell worthwhile.
dataset/word65.wav, spell ink.
dataset/word66.wav, Next up, stumble.
dataset/word67.wav, The next word is, villain.
